iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,vaccines,source_name
ALB,10/01/2021,0,0,,,,0,Pfizer/BioNTech,Ministry of Health
ALB,11/01/2021,,,,,64,,Pfizer/BioNTech,Ministry of Health
ALB,12/01/2021,128,128,,,64,0,Pfizer/BioNTech,Ministry of Health
ALB,13/01/2021,188,188,,60,63,0.01,Pfizer/BioNTech,Ministry of Health
ALB,14/01/2021,266,266,,78,66,0.01,Pfizer/BioNTech,Ministry of Health
ALB,15/01/2021,308,308,,42,62,0.01,Pfizer/BioNTech,Ministry of Health
ALB,16/01/2021,369,369,,61,62,0.01,Pfizer/BioNTech,Ministry of Health
ALB,17/01/2021,405,405,,36,58,0.01,Pfizer/BioNTech,Ministry of Health
ALB,18/01/2021,447,447,,42,55,0.02,Pfizer/BioNTech,Ministry of Health
ALB,19/01/2021,483,483,,36,51,0.02,Pfizer/BioNTech,Ministry of Health
ALB,20/01/2021,519,519,,36,47,0.02,Pfizer/BioNTech,Ministry of Health
ALB,21/01/2021,549,549,,30,40,0.02,Pfizer/BioNTech,Ministry of Health
ALB,22/01/2021,,,,,34,,Pfizer/BioNTech,Ministry of Health
ALB,23/01/2021,,,,,26,,Pfizer/BioNTech,Ministry of Health
ALB,24/01/2021,,,,,21,,Pfizer/BioNTech,Ministry of Health
ALB,25/01/2021,,,,,15,,Pfizer/BioNTech,Ministry of Health
ALB,26/01/2021,,,,,9,,Pfizer/BioNTech,Ministry of Health
ALB,27/01/2021,,,,,4,,Pfizer/BioNTech,Ministry of Health
ALB,28/01/2021,,,,,,,Pfizer/BioNTech,Ministry of Health
ALB,29/01/2021,,,,,,,Pfizer/BioNTech,Ministry of Health
ALB,30/01/2021,,,,,,,Pfizer/BioNTech,Ministry of Health
ALB,31/01/2021,,,,,,,Pfizer/BioNTech,Ministry of Health
ALB,01/02/2021,,,,,,,Pfizer/BioNTech,Ministry of Health
ALB,02/02/2021,550,549,1,,,0.02,Pfizer/BioNTech,Ministry of Health
ALB,03/02/2021,,,,,12,,Pfizer/BioNTech,Ministry of Health
ALB,04/02/2021,,,,,24,,Pfizer/BioNTech,Ministry of Health
ALB,05/02/2021,,,,,35,,Pfizer/BioNTech,Ministry of Health
ALB,06/02/2021,,,,,47,,Pfizer/BioNTech,Ministry of Health
ALB,07/02/2021,,,,,59,,Pfizer/BioNTech,Ministry of Health
ALB,08/02/2021,,,,,71,,Pfizer/BioNTech,Ministry of Health
ALB,09/02/2021,1127,689,438,,82,0.04,Pfizer/BioNTech,Ministry of Health
ALB,10/02/2021,,,,,81,,Pfizer/BioNTech,Ministry of Health
ALB,11/02/2021,,,,,79,,Pfizer/BioNTech,Ministry of Health
ALB,12/02/2021,,,,,78,,Pfizer/BioNTech,Ministry of Health
ALB,13/02/2021,,,,,76,,Pfizer/BioNTech,Ministry of Health
ALB,14/02/2021,,,,,75,,Pfizer/BioNTech,Ministry of Health
ALB,15/02/2021,,,,,73,,Pfizer/BioNTech,Ministry of Health
ALB,16/02/2021,,,,,72,,Pfizer/BioNTech,Ministry of Health
ALB,17/02/2021,1701,1090,611,,72,0.06,Pfizer/BioNTech,Ministry of Health
ALB,18/02/2021,3049,2438,611,1348,254,0.11,Pfizer/BioNTech,Ministry of Health
ALB,19/02/2021,4177,,,1128,405,0.15,Pfizer/BioNTech,Ministry of Health
DZA,29/01/2021,0,,,,,0,Sputnik V,Ministry of Health
DZA,30/01/2021,30,,,30,30,0,Sputnik V,Ministry of Health
DZA,31/01/2021,,,,,1889,,Sputnik V,Ministry of Health
DZA,01/02/2021,,,,,2509,,Sputnik V,Ministry of Health
DZA,02/02/2021,,,,,2819,,Sputnik V,Ministry of Health
DZA,03/02/2021,,,,,3005,,Sputnik V,Ministry of Health
DZA,04/02/2021,,,,,3129,,Sputnik V,Ministry of Health
DZA,05/02/2021,,,,,3217,,Sputnik V,Ministry of Health
DZA,06/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,07/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,08/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,09/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,10/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,11/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,12/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,13/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,14/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,15/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,16/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,17/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,18/02/2021,,,,,3748,,Sputnik V,Ministry of Health
DZA,19/02/2021,75000,,,,3748,0.17,Sputnik V,Ministry of Health
AND,25/01/2021,576,576,,,,0.75,Pfizer/BioNTech,Government of Andorra
AND,26/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,27/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,28/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,29/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,30/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,31/01/2021,,,,,66,,Pfizer/BioNTech,Government of Andorra
AND,01/02/2021,1036,1036,,,66,1.34,Pfizer/BioNTech,Government of Andorra
AND,02/02/2021,,,,,60,,Pfizer/BioNTech,Government of Andorra
AND,03/02/2021,,,,,55,,Pfizer/BioNTech,Government of Andorra
AND,04/02/2021,,,,,50,,Pfizer/BioNTech,Government of Andorra
AND,05/02/2021,,,,,44,,Pfizer/BioNTech,Government of Andorra
AND,06/02/2021,,,,,39,,Pfizer/BioNTech,Government of Andorra
AND,07/02/2021,,,,,34,,Pfizer/BioNTech,Government of Andorra
AND,08/02/2021,,,,,28,,Pfizer/BioNTech,Government of Andorra
AND,09/02/2021,,,,,28,,Pfizer/BioNTech,Government of Andorra
AND,10/02/2021,1291,1291,,,28,1.67,Pfizer/BioNTech,Government of Andorra
AND,11/02/2021,,,,,48,,Pfizer/BioNTech,Government of Andorra
AND,12/02/2021,1622,1622,,,68,2.1,Pfizer/BioNTech,Government of Andorra
AND,13/02/2021,,,,,74,,Pfizer/BioNTech,Government of Andorra
AND,14/02/2021,,,,,81,,Pfizer/BioNTech,Government of Andorra
AND,15/02/2021,,,,,87,,Pfizer/BioNTech,Government of Andorra
AND,16/02/2021,,,,,94,,Pfizer/BioNTech,Government of Andorra
AND,17/02/2021,,,,,100,,Pfizer/BioNTech,Government of Andorra
AND,18/02/2021,,,,,87,,Pfizer/BioNTech,Government of Andorra
AND,19/02/2021,2141,2141,,,74,2.77,Pfizer/BioNTech,Government of Andorra
AIA,04/02/2021,0,0,,,,0,Oxford/AstraZeneca,Ministry of Health
AIA,05/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,06/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,07/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,08/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,09/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,10/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,11/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,12/02/2021,,,,,149,,Oxford/AstraZeneca,Ministry of Health
AIA,13/02/2021,1341,1341,,,149,8.94,Oxford/AstraZeneca,Ministry of Health
AIA,14/02/2021,2762,2762,,1421,331,18.41,Oxford/AstraZeneca,Ministry of Health
ARG,29/12/2020,700,,,,,0,Sputnik V,Ministry of Health
ARG,30/12/2020,,,,,15656,,Sputnik V,Ministry of Health
ARG,31/12/2020,32013,,,,15656,0.07,Sputnik V,Ministry of Health
ARG,01/01/2021,,,,,11070,,Sputnik V,Ministry of Health
ARG,02/01/2021,,,,,8776,,Sputnik V,Ministry of Health
ARG,03/01/2021,,,,,7400,,Sputnik V,Ministry of Health
ARG,04/01/2021,39599,,,,6483,0.09,Sputnik V,Ministry of Health
ARG,05/01/2021,,,,,7984,,Sputnik V,Ministry of Health
ARG,06/01/2021,,,,,8173,,Sputnik V,Ministry of Health
ARG,07/01/2021,,,,,8363,,Sputnik V,Ministry of Health
ARG,08/01/2021,107542,,,,10519,0.24,Sputnik V,Ministry of Health
ARG,09/01/2021,,,,,11942,,Sputnik V,Ministry of Health
ARG,10/01/2021,,,,,13365,,Sputnik V,Ministry of Health
ARG,11/01/2021,,,,,14788,,Sputnik V,Ministry of Health
ARG,12/01/2021,,,,,14056,,Sputnik V,Ministry of Health
ARG,13/01/2021,166833,,,,13323,0.37,Sputnik V,Ministry of Health
ARG,14/01/2021,,,,,13320,,Sputnik V,Ministry of Health
ARG,15/01/2021,200759,,,,13317,0.44,Sputnik V,Ministry of Health
ARG,16/01/2021,,,,,12971,,Sputnik V,Ministry of Health
ARG,17/01/2021,,,,,12624,,Sputnik V,Ministry of Health
ARG,18/01/2021,,,,,12278,,Sputnik V,Ministry of Health
ARG,19/01/2021,,,,,11932,,Sputnik V,Ministry of Health
ARG,20/01/2021,247933,243539,4394,,11586,0.55,Sputnik V,Ministry of Health
ARG,21/01/2021,265724,249372,16352,17791,11704,0.59,Sputnik V,Ministry of Health
ARG,22/01/2021,279602,254456,25146,13878,11263,0.62,Sputnik V,Ministry of Health
ARG,23/01/2021,288064,258876,29188,8462,11124,0.64,Sputnik V,Ministry of Health
ARG,24/01/2021,292023,260036,31987,3959,10342,0.65,Sputnik V,Ministry of Health
ARG,25/01/2021,292386,260122,32264,363,9046,0.65,Sputnik V,Ministry of Health
ARG,26/01/2021,305880,266969,38911,13494,9626,0.68,Sputnik V,Ministry of Health
ARG,27/01/2021,318033,272323,45710,12153,10014,0.7,Sputnik V,Ministry of Health
ARG,28/01/2021,327999,276548,51451,9966,8896,0.73,Sputnik V,Ministry of Health
ARG,29/01/2021,344034,278451,65583,16035,9205,0.76,Sputnik V,Ministry of Health
ARG,30/01/2021,366384,281023,85361,22350,11189,0.81,Sputnik V,Ministry of Health
ARG,31/01/2021,,,,,11299,,Sputnik V,Ministry of Health
ARG,01/02/2021,375851,281577,94274,,11924,0.83,Sputnik V,Ministry of Health
ARG,02/02/2021,,,,,11475,,Sputnik V,Ministry of Health
ARG,03/02/2021,396562,284196,112366,,11218,0.88,Sputnik V,Ministry of Health
ARG,04/02/2021,444018,297717,146301,47456,16574,0.98,Sputnik V,Ministry of Health
ARG,05/02/2021,,,,,16238,,Sputnik V,Ministry of Health
ARG,06/02/2021,471383,307501,163882,,15000,1.04,Sputnik V,Ministry of Health
ARG,07/02/2021,501152,319316,181836,29769,18576,1.11,Sputnik V,Ministry of Health
ARG,08/02/2021,511582,322318,189264,10430,19390,1.13,Sputnik V,Ministry of Health
ARG,09/02/2021,513178,322975,190203,1596,18139,1.14,Sputnik V,Ministry of Health
ARG,10/02/2021,535303,337772,197531,22125,19820,1.18,Sputnik V,Ministry of Health
ARG,11/02/2021,572928,362649,210279,37625,18416,1.27,Sputnik V,Ministry of Health
ARG,12/02/2021,591632,368023,223609,18704,19133,1.31,Sputnik V,Ministry of Health
ARG,13/02/2021,606245,371629,234616,14613,19266,1.34,Sputnik V,Ministry of Health
ARG,14/02/2021,609605,372122,237483,3360,15493,1.35,Sputnik V,Ministry of Health
ARG,15/02/2021,609791,372181,237610,186,14030,1.35,Sputnik V,Ministry of Health
ARG,16/02/2021,611169,373253,237916,1378,13999,1.35,Sputnik V,Ministry of Health
ARG,17/02/2021,612322,374002,238320,1153,11003,1.35,Sputnik V,Ministry of Health
ARG,18/02/2021,635583,392399,243184,23261,8951,1.41,Sputnik V,Ministry of Health
ARG,19/02/2021,668654,414958,253696,33071,11003,1.48,Sputnik V,Ministry of Health
ARG,20/02/2021,707148,445614,261534,38494,14415,1.56,Sputnik V,Ministry of Health
ARG,21/02/2021,720267,456929,263338,13119,15809,1.59,Sputnik V,Ministry of Health
ARG,22/02/2021,722234,458822,263412,1967,16063,1.6,Sputnik V,Ministry of Health
AUS,15/02/2021,0,0,,,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,16/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,17/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,18/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,19/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,20/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,21/02/2021,0,0,,0,,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUS,22/02/2021,20,20,,20,3,0,Pfizer/BioNTech,Government of Australia via covidlive.com.au
AUT,10/01/2021,,6784,,,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,11/01/2021,,11559,,,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,12/01/2021,,13172,,,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,13/01/2021,21259,20064,,,,0.24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,14/01/2021,47087,29359,,25828,6457,0.52,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,15/01/2021,67473,39751,,20386,9243,0.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,16/01/2021,76066,50402,,8593,9134,0.84,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,17/01/2021,82005,55450,,5939,8678,0.91,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,18/01/2021,88973,60708,304,6968,9673,0.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,19/01/2021,97389,70474,1034,8416,10876,1.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,20/01/2021,127354,86888,2007,29965,15156,1.41,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,21/01/2021,152843,105038,3214,25489,15108,1.7,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,22/01/2021,163692,121216,3540,10849,13746,1.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,23/01/2021,168700,132105,4243,5008,13233,1.87,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,24/01/2021,171416,135249,4289,2716,12773,1.9,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,25/01/2021,177179,137044,4306,5763,12601,1.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,26/01/2021,187606,146587,4346,10427,12888,2.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,27/01/2021,191749,153859,5126,4143,9199,2.13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,28/01/2021,198091,163806,5633,6342,6464,2.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,29/01/2021,208878,174262,7157,10787,6455,2.32,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,30/01/2021,220647,183628,13551,11769,7421,2.45,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,31/01/2021,224792,185291,15207,4145,7625,2.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,01/02/2021,227802,186479,15866,3010,7232,2.53,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,02/02/2021,241258,189926,19062,13456,7665,2.68,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,03/02/2021,252707,194287,28233,11449,8708,2.81,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,04/02/2021,262079,198912,39329,9372,9141,2.91,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,05/02/2021,277431,202160,50669,15352,9793,3.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,06/02/2021,284578,208144,62123,7147,9133,3.16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,07/02/2021,289954,210239,66621,5376,9309,3.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,08/02/2021,298195,212062,71135,8241,10056,3.31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,09/02/2021,311221,215592,78852,13026,9995,3.46,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,10/02/2021,329881,219286,90983,18660,11025,3.66,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,11/02/2021,343069,224467,106450,13188,11570,3.81,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
AUT,12/02/2021,365414,229317,122349,22345,12569,4.06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health
