iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,vaccines,source_name
ITA,11/02/2021,2865231,1594347,1270884,71760,70348,4.74,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,12/02/2021,2936602,1651875,1284727,71371,65623,4.86,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,13/02/2021,2988127,1697178,1290949,51525,62223,4.94,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,14/02/2021,3017121,1723899,1293222,28994,60648,4.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,15/02/2021,3077436,1778797,1298639,60315,59952,5.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,16/02/2021,3145548,1841430,1304118,68112,60396,5.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,17/02/2021,3222384,1909492,1312892,76836,61273,5.33,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,18/02/2021,3307711,1987763,1319948,85327,63211,5.47,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,19/02/2021,3394383,2068611,1325772,86672,65397,5.61,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,20/02/2021,3465078,2135574,1329504,70695,68136,5.73,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,21/02/2021,3513023,2181601,1331422,47945,70843,5.81,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
ITA,22/02/2021,3608645,2272519,1336126,95622,75887,5.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency
JPN,17/02/2021,125,125,,,,0,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JPN,18/02/2021,611,611,,486,486,0,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JPN,19/02/2021,5039,5039,,4428,2457,0,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JPN,20/02/2021,,,,,2404,,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JPN,21/02/2021,,,,,2378,,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JPN,22/02/2021,11934,11934,,,2362,0.01,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare"
JEY,24/01/2021,11385,8334,3051,,,11.26,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,25/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,26/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,27/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,28/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,29/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,30/01/2021,,,,,493,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,31/01/2021,14838,11707,3131,,493,14.68,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,01/02/2021,,,,,549,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,02/02/2021,,,,,604,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,03/02/2021,,,,,660,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,04/02/2021,,,,,715,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,05/02/2021,,,,,770,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,06/02/2021,,,,,826,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,07/02/2021,21007,17829,3178,,881,20.78,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,08/02/2021,,,,,856,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,09/02/2021,,,,,831,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,10/02/2021,,,,,806,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,11/02/2021,,,,,781,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,12/02/2021,,,,,756,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
JEY,13/02/2021,,,,,731,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey
